ID,Payed Status in April,Payed Status in May,Payed Status in June,Payed Status in July,Payed Status in August,Payed Status in September,Credit Limit,Average Bill Amount,Average Pay Amount,Sex,Education_Graduate School,Education_High School,Education_Others,Education_University,Marriage_Married,Marriage_Others,Marriage_Single,Age_Young Adult (20-27),Age_Adult (28-35),Age_Middle Aged (36-45),Age_Senior (46-80),Defaulted Payment
25,0,0,0,0,0,0,90000,5879.0,2022.5,1,1,0,0,0,0,0,1,1,0,0,0,0
26,0,0,0,0,0,0,50000,33034.5,1244.0,1,0,1,0,0,0,0,1,1,0,0,0,0
27,0,0,0,0,0,1,60000,-83.0,250.0,1,1,0,0,0,0,0,1,1,0,0,0,1
28,0,0,0,0,0,0,50000,18404.5,1156.0,0,0,1,0,0,0,0,1,0,1,0,0,0
29,0,0,0,0,0,0,50000,2727.5,2729.5,0,0,1,0,0,1,0,0,0,0,0,1,0
30,0,0,0,0,0,0,50000,17035.5,1250.0,1,1,0,0,0,0,0,1,1,0,0,0,0
31,0,0,0,0,0,0,230000,15992.5,14823.0,0,1,0,0,0,0,0,1,1,0,0,0,0
32,0,0,0,0,0,1,50000,23448.5,1000.0,1,0,0,0,1,0,0,1,0,1,0,0,1
33,0,0,0,0,0,0,100000,81919.0,3202.0,1,1,0,0,0,0,0,1,0,1,0,0,0
34,0,0,0,0,0,0,500000,9955.0,15174.0,0,0,0,0,1,1,0,0,0,0,0,1,0
35,0,0,0,0,0,0,500000,5149.5,4093.0,1,1,0,0,0,1,0,0,0,0,0,1,0
36,0,0,0,0,0,0,160000,-725.0,396.0,1,1,0,0,0,0,0,1,0,1,0,0,0
37,0,0,0,0,0,0,280000,178917.5,6568.5,1,0,0,0,1,1,0,0,0,0,1,0,0
38,0,0,0,0,0,0,60000,10437.0,1509.0,0,0,0,0,1,0,0,1,1,0,0,0,0
39,0,0,0,0,0,1,50000,0.0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,1
40,0,0,0,1,0,0,280000,9276.0,8537.5,1,1,0,0,0,0,0,1,0,1,0,0,0
41,0,0,0,0,0,0,360000,212781.5,8500.0,1,1,0,0,0,0,0,1,0,1,0,0,0
42,0,0,0,0,0,0,70000,65344.0,2900.0,0,1,0,0,0,0,0,1,1,0,0,0,0
43,0,0,0,0,0,0,10000,3623.0,1000.0,1,0,0,0,1,0,0,1,1,0,0,0,0
44,0,0,0,0,0,0,140000,63602.5,3000.0,0,0,0,0,1,1,0,0,0,0,1,0,0
45,0,0,1,0,0,0,40000,25565.0,2500.0,0,1,0,0,0,0,0,1,0,1,0,0,0
46,0,0,0,0,0,0,210000,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,0,1
47,0,0,0,1,0,0,20000,16070.5,167.0,0,1,0,0,0,0,0,1,1,0,0,0,1
48,0,0,0,0,0,0,150000,1170.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,1
49,0,0,0,0,0,0,380000,18337.0,13506.5,1,0,0,0,1,0,0,1,0,1,0,0,0
50,0,0,0,0,0,0,20000,19670.5,998.5,1,1,0,0,0,0,0,1,1,0,0,0,0
51,0,1,1,1,1,1,70000,38507.0,1500.0,1,0,1,0,0,0,0,1,0,0,1,0,1
52,0,0,0,0,0,0,100000,41721.5,1553.0,0,0,1,0,0,0,1,0,0,0,1,0,0
53,0,0,0,0,0,0,310000,7733.5,5572.0,0,0,0,0,1,1,0,0,0,0,0,1,0
54,0,0,0,0,1,1,180000,43134.0,1762.0,0,1,0,0,0,0,0,1,1,0,0,0,0
55,0,0,0,0,0,1,150000,28976.0,1659.0,0,1,0,0,0,0,0,1,0,1,0,0,0
56,0,0,0,0,0,0,500000,1033.5,156.5,0,1,0,0,0,1,0,0,0,0,1,0,0
57,0,0,0,0,0,0,180000,8381.0,4750.0,0,0,1,0,0,1,0,0,0,1,0,0,0
58,0,0,0,0,0,0,180000,170458.0,5034.5,0,0,0,0,1,1,0,0,0,1,0,0,0
59,1,1,1,1,1,0,200000,1132.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0
60,0,0,0,0,0,0,400000,381473.0,16014.5,0,0,0,0,1,1,0,0,0,1,0,0,0
61,0,0,0,0,0,0,500000,17224.5,1408.0,0,0,1,0,0,1,0,0,1,0,0,0,1
62,0,0,0,0,0,0,70000,43228.0,2047.5,1,0,0,0,1,1,0,0,0,0,1,0,0
63,1,1,1,1,1,1,50000,26228.0,600.0,1,1,0,0,0,0,0,1,0,1,0,0,1
64,0,0,0,0,0,0,50000,0.0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,1
65,0,0,0,0,0,0,130000,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0
66,1,1,0,0,0,0,200000,76137.0,150.0,1,1,0,0,0,1,0,0,0,0,0,1,1
67,0,0,0,1,1,1,10000,4127.5,180.0,1,0,0,0,1,1,0,0,0,0,0,1,1
68,0,0,0,0,0,1,210000,729.5,1034.0,0,1,0,0,0,0,0,1,0,1,0,0,0
69,0,1,0,0,0,1,130000,3564.5,3659.5,0,0,1,0,0,0,0,1,0,1,0,0,0
70,0,0,0,0,0,1,20000,17244.5,750.0,1,0,0,1,0,0,0,1,1,0,0,0,0
71,0,0,0,0,0,0,80000,390.0,390.0,1,1,0,0,0,0,0,1,0,1,0,0,0
72,1,1,1,1,1,1,320000,59715.0,2450.0,1,0,0,0,1,0,0,1,0,1,0,0,1
73,0,1,0,0,0,0,200000,4547.5,2280.0,0,0,0,0,1,1,0,0,0,1,0,0,0
74,0,0,0,0,0,1,290000,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0
75,0,0,0,0,0,0,340000,14443.5,14583.0,1,1,0,0,0,0,0,1,0,1,0,0,0
76,0,0,0,1,0,0,20000,17096.0,620.0,1,0,0,0,1,0,0,1,1,0,0,0,0
77,0,0,0,0,0,0,50000,23058.5,1000.0,1,0,1,0,0,0,0,1,1,0,0,0,0
78,0,0,0,0,0,0,300000,291.0,291.0,0,1,0,0,0,1,0,0,0,0,1,0,0
79,0,0,0,0,0,0,30000,28195.5,1543.0,0,0,0,0,1,0,0,1,1,0,0,0,1
80,0,0,0,0,0,1,240000,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,1
81,0,0,0,0,0,0,470000,113853.5,3000.0,0,0,1,0,0,0,1,0,0,1,0,0,0
82,0,0,0,0,0,0,360000,29098.0,3250.0,0,1,0,0,0,0,0,1,1,0,0,0,0
83,0,0,0,0,0,0,60000,24158.5,954.0,1,0,1,0,0,0,0,1,0,1,0,0,1
84,0,0,0,1,0,0,400000,115904.5,3025.0,0,0,0,0,1,1,0,0,0,0,1,0,0
85,0,0,0,0,0,0,50000,20951.5,837.5,0,0,1,0,0,0,0,1,0,0,0,1,0
86,0,0,0,0,0,0,160000,118412.5,4500.0,1,0,0,0,1,0,0,1,0,1,0,0,0
87,0,0,0,1,0,0,360000,390.0,390.0,0,1,0,0,0,1,0,0,0,0,1,0,1
88,0,0,0,0,0,0,160000,5677.5,1573.5,0,0,0,0,1,0,0,1,0,1,0,0,0
89,0,0,0,0,0,0,130000,12417.5,3545.0,0,1,0,0,0,1,0,0,0,1,0,0,0
90,1,0,0,0,1,1,20000,10069.5,1250.0,1,0,1,0,0,0,0,1,0,0,1,0,0
91,1,1,1,1,1,1,200000,143279.0,5500.0,1,1,0,0,0,1,0,0,0,0,0,1,1
92,0,0,0,0,0,0,280000,1934.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0
93,0,0,0,0,0,0,100000,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0
94,0,0,0,0,0,0,160000,840.0,840.0,0,0,0,0,1,1,0,0,0,0,1,0,0
95,0,0,0,0,0,0,60000,32621.5,825.5,0,0,0,0,1,0,0,1,1,0,0,0,0
96,0,0,0,0,0,0,90000,59645.0,1161.0,1,0,0,0,1,0,0,1,0,1,0,0,0
97,0,0,0,0,0,0,360000,7386.5,10620.5,1,1,0,0,0,1,0,0,0,0,1,0,0
98,0,0,0,0,0,0,150000,86916.5,3648.5,1,1,0,0,0,0,0,1,1,0,0,0,0
99,0,0,0,0,0,0,50000,15073.5,350.0,0,0,1,0,0,1,0,0,1,0,0,0,0
100,0,0,0,0,0,0,20000,18106.5,1043.0,1,0,0,0,1,1,0,0,0,0,1,0,1
101,0,0,0,0,0,0,140000,761.0,632.5,1,1,0,0,0,0,0,1,0,1,0,0,0
102,0,0,0,0,0,0,380000,32683.0,1223.5,0,1,0,0,0,0,0,1,0,1,0,0,0
103,0,1,1,0,0,0,480000,470553.0,17500.0,1,1,0,0,0,1,0,0,0,0,0,1,0
104,0,0,0,0,0,0,50000,35421.5,998.5,0,0,1,0,0,0,0,1,1,0,0,0,1
105,0,1,1,1,1,1,60000,56066.0,2755.5,0,0,0,0,1,0,0,1,1,0,0,0,0
106,0,0,0,0,0,0,70000,0.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0
107,0,0,0,0,0,0,80000,3069.0,2005.5,0,0,0,0,1,1,0,0,0,0,1,0,0
108,0,0,0,0,0,0,350000,1008.5,1711.0,1,1,0,0,0,0,0,1,0,0,0,1,0
109,0,0,0,0,0,0,130000,123525.5,7852.0,1,0,0,0,1,0,0,1,0,0,1,0,0
110,0,0,0,0,0,1,360000,-103.0,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0
111,0,0,0,1,0,0,330000,106193.5,3846.5,0,1,0,0,0,1,0,0,0,1,0,0,0
112,0,0,0,1,0,0,50000,15554.5,1000.0,1,0,1,0,0,1,0,0,0,0,0,1,0
113,1,1,1,1,1,1,280000,141466.5,5750.0,1,0,0,0,1,1,0,0,0,0,1,0,0
114,0,0,0,0,0,0,100000,55276.5,2838.5,0,1,0,0,0,0,0,1,1,0,0,0,0
115,0,0,0,0,0,0,50000,20108.0,721.0,1,0,0,0,1,0,0,1,0,0,1,0,0
116,1,1,0,0,1,0,30000,19661.5,1000.0,1,1,0,0,0,0,0,1,1,0,0,0,1
117,0,0,0,0,0,0,240000,326.0,401.0,1,1,0,0,0,0,0,1,1,0,0,0,0
118,0,0,0,0,0,1,80000,16842.5,1000.0,1,0,0,0,1,0,0,1,1,0,0,0,1
119,0,0,0,0,0,0,400000,10766.5,8818.0,1,0,0,0,1,1,0,0,0,1,0,0,0
120,0,0,0,0,0,0,240000,50849.5,1653.5,0,0,0,0,1,0,0,1,0,0,1,0,0
121,1,1,1,1,1,1,50000,48902.0,1200.0,1,0,1,0,0,0,0,1,0,0,1,0,1
122,0,0,0,0,0,1,450000,0.0,0.0,1,1,0,0,0,1,0,0,0,0,1,0,1
123,0,0,0,0,0,1,110000,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0
124,0,0,0,0,0,1,310000,281800.5,8503.0,0,0,0,0,1,1,0,0,0,1,0,0,1
125,0,0,0,0,0,0,20000,19206.5,730.5,1,1,0,0,0,0,0,1,1,0,0,0,0
126,0,0,0,0,0,1,20000,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0
127,0,0,0,0,0,0,200000,102030.0,3635.5,1,0,1,0,0,0,0,1,0,0,0,1,0
128,0,0,0,0,0,0,180000,98515.5,2179.5,1,1,0,0,0,1,0,0,0,0,1,0,1
129,0,0,0,0,0,0,50000,4925.0,1133.0,1,0,0,0,1,1,0,0,0,0,0,1,1
130,0,0,0,1,1,1,60000,43377.0,1200.0,1,0,1,0,0,1,0,0,0,0,0,1,0
131,0,0,0,0,0,1,30000,4822.5,4576.5,0,1,0,0,0,0,0,1,1,0,0,0,0
132,0,0,0,0,0,1,240000,2179.5,1330.5,1,1,0,0,0,0,0,1,0,0,1,0,0
133,0,0,0,0,0,0,420000,225000.0,8691.5,1,0,0,0,1,1,0,0,0,1,0,0,0
134,0,0,0,0,0,0,330000,227989.0,8187.5,1,0,1,0,0,1,0,0,0,0,1,0,0
135,0,0,0,0,0,0,30000,25747.5,950.0,0,0,0,0,1,0,0,1,1,0,0,0,0
136,1,1,1,0,0,0,240000,13475.0,663.5,1,0,0,0,1,1,0,0,0,1,0,0,0
137,0,0,0,0,0,0,150000,23307.0,3000.0,1,1,0,0,0,0,0,1,1,0,0,0,0
138,0,0,0,0,0,0,210000,7581.5,1250.0,0,0,0,0,1,1,0,0,0,1,0,0,0
139,0,0,0,0,0,0,50000,150.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1
140,0,0,0,0,0,0,50000,34508.0,1350.0,1,1,0,0,0,0,0,1,1,0,0,0,0
141,0,0,0,0,0,1,240000,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,1
142,0,0,0,0,0,0,180000,416.0,458.0,1,0,0,0,1,0,0,1,1,0,0,0,0
143,0,0,1,1,1,1,50000,18972.0,750.0,1,0,0,0,1,0,0,1,1,0,0,0,0
144,0,0,0,0,0,0,170000,10000.0,10000.0,1,0,0,0,1,0,0,1,0,1,0,0,0
145,0,0,0,0,0,0,20000,1769.5,1342.0,1,1,0,0,0,0,0,1,0,1,0,0,0
146,1,0,0,0,0,0,50000,8255.0,1300.0,1,1,0,0,0,0,0,1,1,0,0,0,0
147,0,0,0,0,0,0,170000,18593.5,354.5,0,0,0,0,1,0,0,1,1,0,0,0,1
148,0,0,0,0,1,1,200000,133950.5,6500.0,1,1,0,0,0,0,0,1,0,1,0,0,0
149,0,0,1,1,1,1,80000,10164.0,190.0,0,0,0,0,1,1,0,0,1,0,0,0,0
150,0,0,0,0,0,1,260000,434.5,484.5,0,1,0,0,0,1,0,0,0,0,0,1,0
151,0,1,0,0,0,0,140000,66492.0,2856.0,1,0,0,0,1,1,0,0,0,1,0,0,0
152,0,0,0,0,0,0,80000,42197.5,7000.0,1,1,0,0,0,0,0,1,1,0,0,0,0
153,0,0,0,0,0,1,350000,419.0,315.0,1,1,0,0,0,0,0,1,0,0,1,0,0
154,0,0,0,0,0,0,280000,173228.0,6850.0,0,0,0,0,1,1,0,0,0,0,0,1,0
155,0,0,0,0,0,0,30000,11681.0,1500.0,0,0,1,0,0,0,0,1,1,0,0,0,0
156,0,0,0,0,0,0,140000,37601.0,5000.0,1,1,0,0,0,1,0,0,0,1,0,0,0
157,0,0,0,0,0,0,200000,93268.0,3530.0,0,1,0,0,0,0,0,1,0,0,1,0,0
158,0,0,0,0,0,0,200000,178343.5,6654.0,0,0,1,0,0,0,0,1,0,1,0,0,0
159,1,1,1,1,1,1,210000,133562.0,10778.0,1,0,1,0,0,1,0,0,0,0,1,0,1
160,0,0,0,0,1,1,50000,13437.0,550.0,1,0,1,0,0,1,0,0,0,0,0,1,0
161,0,1,1,1,1,1,30000,27516.0,1225.0,1,1,0,0,0,0,0,1,0,0,1,0,0
162,1,0,0,0,0,1,50000,465.0,390.0,1,0,0,0,1,0,0,1,1,0,0,0,0
163,0,0,0,0,0,0,290000,409.5,396.0,1,0,1,0,0,1,0,0,0,0,0,1,0
164,0,0,0,1,0,0,250000,154400.0,5562.5,0,1,0,0,0,1,0,0,0,1,0,0,0
165,0,0,0,0,0,0,60000,25471.0,1500.0,0,0,0,0,1,1,0,0,0,0,1,0,0
166,0,0,0,0,0,0,110000,89447.0,3000.0,0,1,0,0,0,0,0,1,1,0,0,0,0
167,0,0,0,0,0,0,370000,10828.5,10828.5,1,1,0,0,0,0,0,1,0,0,0,1,0
168,0,0,0,1,1,0,100000,44080.0,1364.0,1,0,0,0,1,1,0,0,1,0,0,0,0
169,1,0,0,0,0,0,90000,76421.5,3576.0,0,0,0,0,1,1,0,0,0,1,0,0,0
170,0,0,0,0,0,0,50000,28562.0,1147.0,0,0,0,0,1,0,0,1,1,0,0,0,0
171,0,0,0,0,0,0,270000,29066.0,3000.0,1,0,0,0,1,0,0,1,0,0,1,0,0
172,0,0,0,0,0,0,300000,1736.0,1736.0,0,1,0,0,0,0,0,1,0,1,0,0,0
173,0,0,0,0,0,0,50000,8146.0,3000.0,0,0,0,0,1,0,0,1,1,0,0,0,0
174,0,0,0,0,0,1,50000,-1803.5,0.0,0,1,0,0,0,0,0,1,1,0,0,0,1
175,0,0,0,0,0,1,360000,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0
176,1,1,1,1,1,1,130000,67919.5,3000.0,1,0,1,0,0,1,0,0,0,0,0,1,1
177,0,0,0,0,0,0,80000,1678.5,502.0,1,1,0,0,0,0,0,1,0,1,0,0,0
178,1,0,0,0,1,1,50000,39011.0,1250.0,1,0,0,0,1,0,0,1,0,1,0,0,0
179,0,0,0,0,0,0,20000,13627.5,1206.5,0,0,0,0,1,0,0,1,1,0,0,0,0
180,0,0,0,1,0,0,80000,69675.0,800.0,0,0,0,0,1,1,0,0,0,1,0,0,0
181,0,0,0,1,0,0,240000,25805.0,1628.0,1,1,0,0,0,0,0,1,0,0,1,0,0
182,0,0,0,0,0,0,80000,17412.0,3000.0,0,0,1,0,0,0,0,1,0,1,0,0,0
183,0,0,0,0,0,0,500000,109587.0,30178.5,0,1,0,0,0,1,0,0,0,0,0,1,0
184,0,0,0,0,0,0,60000,34117.0,1800.0,0,0,0,0,1,1,0,0,1,0,0,0,1
185,0,0,0,0,0,0,20000,11159.5,900.5,1,0,0,0,1,0,0,1,1,0,0,0,0
186,0,1,0,0,1,1,100000,15595.5,1250.0,0,0,0,0,1,1,0,0,0,0,1,0,1
187,0,0,0,0,0,1,360000,15060.5,27281.5,0,1,0,0,0,0,0,1,0,1,0,0,0
188,1,1,1,1,1,1,200000,197811.0,6918.0,0,0,1,0,0,0,0,1,0,0,0,1,1
189,0,0,0,0,0,1,130000,11923.0,2750.0,0,0,0,0,1,1,0,0,0,1,0,0,0
190,1,1,1,1,1,1,20000,20961.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0
191,0,0,0,0,0,0,310000,61244.5,5545.5,1,1,0,0,0,0,0,1,0,1,0,0,0
192,0,1,0,0,0,1,60000,22084.0,1121.0,0,1,0,0,0,0,0,1,1,0,0,0,1
193,0,0,0,0,0,0,180000,5792.5,270.0,0,1,0,0,0,0,0,1,0,1,0,0,0
194,0,0,0,1,0,0,180000,12435.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0
195,0,0,0,0,0,0,50000,9386.0,1500.0,1,0,0,0,1,1,0,0,0,0,1,0,0
196,1,1,1,1,1,1,50000,38071.0,1566.0,0,1,0,0,0,0,0,1,1,0,0,0,1
197,0,0,0,0,0,0,150000,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0
198,0,0,0,0,0,0,20000,18966.5,1016.0,0,1,0,0,0,0,0,1,1,0,0,0,0
199,0,0,0,0,0,0,500000,1178.5,1228.5,0,1,0,0,0,1,0,0,0,1,0,0,0
200,0,0,0,1,1,1,30000,28566.0,94.5,0,0,1,0,0,0,0,1,1,0,0,0,1
201,0,0,0,0,0,0,180000,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0
202,1,0,0,1,0,0,140000,23674.0,2750.0,1,1,0,0,0,0,0,1,0,1,0,0,0
203,0,0,0,0,0,0,140000,13212.5,8502.0,0,1,0,0,0,0,0,1,1,0,0,0,0
204,0,0,0,0,0,0,120000,114868.0,5000.0,1,0,0,0,1,0,0,1,1,0,0,0,0
205,0,0,0,0,0,0,360000,208320.5,5700.0,0,0,0,0,1,1,0,0,0,0,0,1,0
206,0,0,0,0,0,0,20000,19394.5,1579.5,1,0,1,0,0,1,0,0,0,0,1,0,0
207,0,0,0,0,0,0,100000,390.0,390.0,1,1,0,0,0,1,0,0,0,0,0,1,0
208,0,0,0,0,0,0,210000,1231.5,648.0,0,0,0,0,1,1,0,0,0,0,1,0,1
209,0,0,0,0,0,0,80000,64583.5,2019.0,0,0,0,0,1,0,0,1,1,0,0,0,1
210,0,0,0,0,0,0,330000,2281.5,1705.5,0,1,0,0,0,1,0,0,0,0,0,1,0
211,0,0,0,0,0,0,220000,95619.5,5025.0,1,1,0,0,0,0,0,1,1,0,0,0,0
212,0,0,0,0,0,1,210000,186.5,519.5,0,1,0,0,0,1,0,0,0,0,1,0,1
213,0,0,0,0,0,0,40000,37155.0,1500.0,0,0,1,0,0,1,0,0,0,0,1,0,0
214,0,0,1,0,0,0,30000,15690.0,1500.0,1,0,0,0,1,0,0,1,0,0,1,0,0
215,0,0,1,1,1,1,470000,306494.0,10661.0,1,0,0,0,1,0,0,1,1,0,0,0,0
216,1,0,0,0,0,0,30000,390.0,315.0,1,0,1,0,0,1,0,0,0,0,1,0,0
217,0,0,0,0,0,1,240000,-946.0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,1
218,0,0,0,0,0,1,80000,78517.5,3250.0,1,0,0,0,1,0,0,1,0,0,1,0,0
219,0,0,0,0,0,0,110000,76301.5,3500.0,0,0,1,0,0,0,1,0,0,1,0,0,0
220,0,0,0,0,0,0,310000,63.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0
221,0,0,0,1,1,1,360000,115079.0,4850.0,0,1,0,0,0,1,0,0,0,0,1,0,1
222,0,0,0,0,0,0,330000,335075.0,12295.5,0,0,1,0,0,0,0,1,0,0,1,0,0
223,0,0,0,0,0,0,300000,214167.5,12009.5,0,0,0,0,1,0,0,1,0,1,0,0,0
224,0,0,0,0,0,0,320000,78783.0,4399.5,0,0,0,0,1,0,0,1,0,1,0,0,0
225,0,0,0,1,1,1,50000,39799.5,1100.5,0,0,1,0,0,0,0,1,0,0,1,0,1
226,0,0,0,0,0,0,170000,128869.5,4919.5,0,1,0,0,0,0,0,1,1,0,0,0,0
227,0,0,0,0,0,0,350000,1216.5,284.5,1,0,1,0,0,1,0,0,0,0,1,0,0
228,0,0,0,0,0,0,20000,18709.0,808.0,1,0,0,0,1,1,0,0,0,0,1,0,0
229,0,0,0,0,0,1,50000,32681.5,1504.0,1,0,0,0,1,0,0,1,1,0,0,0,1
230,0,0,0,0,1,1,20000,12431.5,300.0,0,0,1,0,0,0,0,1,1,0,0,0,0
231,0,0,0,0,0,0,50000,25178.5,1006.5,0,1,0,0,0,0,0,1,1,0,0,0,0
232,0,1,0,0,1,1,20000,16865.5,1000.0,1,0,0,0,1,0,0,1,1,0,0,0,1
233,0,0,0,0,0,0,50000,24095.5,1873.5,1,0,0,0,1,1,0,0,1,0,0,0,0
234,1,1,0,0,0,1,190000,137249.5,5000.0,1,0,0,0,1,0,0,1,0,1,0,0,1
235,0,0,0,0,0,0,60000,20814.0,905.5,0,0,0,0,1,1,0,0,0,1,0,0,0
236,0,0,0,0,0,0,80000,5412.5,3200.5,1,1,0,0,0,0,0,1,0,1,0,0,0
237,0,0,0,0,0,0,150000,47965.5,1655.5,0,0,0,0,1,0,0,1,1,0,0,0,0
238,0,0,0,0,0,0,210000,1866.5,2796.0,0,1,0,0,0,0,0,1,0,1,0,0,0
239,0,0,0,0,0,0,240000,214668.0,8008.5,0,0,1,0,0,1,0,0,0,0,0,1,1
240,0,0,0,0,0,0,140000,19207.0,2298.5,0,0,0,0,1,0,1,0,0,0,1,0,1
241,0,0,0,1,1,1,60000,1142.5,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0
242,0,0,0,0,0,0,50000,47574.0,2000.0,1,1,0,0,0,0,0,1,0,0,1,0,0
243,0,0,0,0,0,0,50000,28333.0,1200.0,0,0,0,0,1,0,0,1,1,0,0,0,0
244,0,0,1,1,0,0,180000,2821.0,88.0,0,1,0,0,0,0,0,1,0,1,0,0,0
245,1,1,1,1,0,0,30000,109.0,60.0,0,1,0,0,0,0,0,1,0,0,1,0,0
246,0,0,0,0,0,0,20000,19695.5,800.5,0,0,0,0,1,0,0,1,0,0,1,0,0
247,0,0,0,0,0,0,250000,1583.5,1360.0,0,0,0,0,1,1,0,0,0,0,0,1,0
248,0,0,0,0,0,0,100000,31950.5,1469.0,0,0,0,0,1,0,0,1,1,0,0,0,0
249,0,1,0,0,0,0,330000,45960.5,2535.0,1,1,0,0,0,0,0,1,1,0,0,0,0
250,0,0,0,0,0,0,50000,16591.5,1134.0,1,0,1,0,0,1,0,0,0,0,1,0,0
251,0,0,0,1,1,1,50000,39492.0,1856.0,0,0,0,0,1,0,0,1,1,0,0,0,0
252,0,0,0,0,0,0,30000,27205.0,903.0,1,0,0,0,1,0,0,1,1,0,0,0,0
253,0,0,0,0,0,0,140000,105290.0,3839.5,0,0,0,0,1,0,0,1,1,0,0,0,1
254,0,0,0,0,0,0,160000,59011.0,8521.0,0,1,0,0,0,0,0,1,1,0,0,0,0
255,0,0,0,0,0,0,400000,3102.5,2199.5,0,0,0,0,1,0,0,1,0,1,0,0,0
256,0,0,0,0,0,0,50000,28939.5,1009.0,1,0,0,0,1,1,0,0,1,0,0,0,0
257,0,0,0,0,0,0,140000,1193.5,1290.0,0,0,0,0,1,1,0,0,0,0,0,1,0
258,0,0,0,0,0,0,160000,7674.0,2331.5,0,0,0,0,1,1,0,0,0,1,0,0,0
259,0,0,0,0,0,0,100000,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0
